"";"Comp.1";"Comp.2";"Comp.3";"Comp.4";"Comp.5";"Comp.6";"Comp.7";"Comp.8";"Comp.9"
"Espírito Santo do Pinhal";-1,45427959516254;-0,254435840294891;0,0779397546457829;0,457494849034164;0,34810664572077;-0,104359374733473;-0,481430463675998;-0,360128062863227;-0,249683654782437
"Espírito Santo do Turvo";1,64194731626563;-0,747849322897812;0,130203345235913;-1,23864994786585;1,22676195979562;0,550183913299662;-2,4645117880932;0,686185145845712;0,30849597454543
"Estiva Gerbi";-0,194443156159526;0,696123750089563;-0,399216777127295;0,513945111144658;-0,399890416548256;0,473100924240335;-0,322955607842991;0,353037913014213;0,177262849500083
"Estrela do Norte";1,36608200890378;0,10898463626231;-0,385249912718003;0,191660414064709;0,209045635829184;-0,0561099089765755;0,819155922003406;0,0201705882858626;-0,0308465169854756
"Estrela d'Oeste";0,400255638008448;-0,334397786909783;-1,21496627081678;1,18055725275032;1,24118836816229;-0,0095680054751085;-0,133229854672585;0,622622730545251;-0,157096587447022
"Euclides da Cunha Paulista";1,07602293613592;-0,324540338723352;-0,349481749168751;0,65110750261728;-0,807905092570509;-0,152275432489461;-0,382085496096764;0,140276275927794;0,0937070719867385
"Fernando Prestes";0,731937410442955;0,777663995298614;0,563172099483418;-0,367663338160261;-0,356805758818555;-0,0530186723627086;0,341968065647717;0,160587488560331;0,0406534940516476
"Fernandópolis";-2,58198586304107;-1,07519407627748;-0,534257723323464;0,856519099784592;1,53803167614444;-0,415880488173142;-0,258135066646975;-0,960925052581203;-0,38995413738504
"Fernão";2,80455927696514;-1,93700152815036;-1,31965264327632;0,00759951288290395;0,048094186060946;0,393454181249573;-0,02580373937243;-0,124360879431414;0,0329100664477383
"Floreal";1,41503048301596;0,10127734932101;0,00133451928118224;-0,0869999857928877;0,157920524384813;0,0163243684506196;0,96355604210796;-0,06936177962677;-0,0115198264105574
"Flórida Paulista";1,58268993192842;-0,716467777926033;0,937587293541161;-1,78459451304016;-0,0321985683785267;0,31694884092991;-1,66637843480901;0,0731704652439245;0,128669777309689
"Florínia";0,999508414723927;0,430392474734358;0,217585547657179;-0,298440519831933;0,533619926208104;0,0292030298842159;-0,13461166718409;0,386148183908638;0,066145546767969
"Gabriel Monteiro";0,390440257550624;0,965350890353568;-0,177555665339859;0,872864362133625;-0,0368053730020884;-0,195898098863814;0,0665359280911685;0,555691656348428;0,0749542818874266
